latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
43.7590503,-79.5345742,Compass Datacenters · 15 Fenmar Drive,Compass,"15 Fenmar Drive, North York, ON, Canada",1,,300000.0,2023.0,datacenterhawk,1.0,1.0,ON,Individual,4.220508098602295,12.611541086966115,False,False,True,67.0680607910886
43.7790811,-79.5404003,Digital Realty · YYZ11,Digital Realty,"1 Century Place, Vaughan, ON, Canada",1,,711000.0,1992.0,datacenterhawk,1.0,1.0,ON,Individual,-0.32157808542251587,13.47442911525415,False,False,True,-0.2749959844277934
43.8206847,-79.2397403,Atlantic.Net · 20 Pullman Court,Atlantic.Net,"20 Pullman Court, Scarborough, ON, Canada",3,,,2009.0,datacenterhawk,0.5238095238095238,0.4933333333333333,ON,Ambiguous/Flagged,,,False,False,False,
43.8376308,-79.3165732,Centersquare · YYZ2-A,Brookfield Global Integrated Solutions,"4175 14th Avenue, Markham, ON, Canada",1,,101298.0,1988.0,datacenterhawk,1.0,1.0,ON,Individual,1.3791834115982056,11.525831818519737,False,False,True,2.9716570938320337
43.8383551,-79.3235105,Digital Realty · YYZ10,Digital Realty,"371 Gough Road, Markham, ON, Canada",2,,,1980.0,datacenterhawk,0.3278688524590163,0.3809523809523809,ON,Ambiguous/Flagged,,,False,False,False,
43.8454168,-79.36565150000001,Priority Colo · Tor2,Priority Colo,"600 Cochrane Drive, Markham, ON, Canada",1,,,2013.0,datacenterhawk,1.0,1.0,ON,Individual,,,False,False,True,
43.84691910000001,-79.33322489999999,Equinix · TR5,Equinix,"8100 Warden Street, Markham, ON, Canada",1,,,2024.0,datacenterhawk,1.0,1.0,ON,Individual,,,False,False,True,
43.85070169999999,-79.3425072,Cologix · TOR4,PowerStream,"105 Clegg Road, Markham, ON, Canada",2,,,2022.0,datacenterhawk,0.5714285714285714,0.1333333333333333,ON,Ambiguous/Flagged,,,False,False,False,
43.8557613,-79.3607574,Cover-All · 1 Valleywood Drive,Power Stream,"1 Valleywood Drive, Markham, ON, Canada",1,1.0,17000.0,1986.0,datacenterhawk,1.0,1.0,ON,Individual,0.6931471805599453,9.741027444837728,False,False,True,1.0
43.8890316,-79.3890823,Urbacon Data Centre Solutions · DC3,Urbacon Data Centre Solutions,"95 Via Renzo Drive, Richmond Hill, ON, Canada",1,,106950.0,2023.0,datacenterhawk,1.0,1.0,ON,Individual,2.9239020347595215,11.580126064630466,False,False,True,17.613777545340877
43.8910679,-79.3899984,Urbacon Data Centre Solutions · DC2,Urbacon Data Centre Solutions,"60 Via Renzo Drive, Richmond Hill, ON, Canada",1,,105000.0,2018.0,datacenterhawk,1.0,1.0,ON,Individual,2.2503840923309326,11.561725152903833,False,False,True,8.491380702869012
43.8916051,-79.3882622,Urbacon Data Centre Solutions · DC1,Urbacon Data Centre Solutions,"80 Via Renzo Drive, Richmond Hill, ON, Canada",1,9.0,118135.0,2017.0,datacenterhawk,1.0,1.0,ON,Individual,2.302585092994046,11.67959178215361,False,False,True,9.000000000000002
44.0474116,-121.3285907,Cascade Divide · 207 SW Columbia Street,Cascade Divide,"207 SW Columbia Street, Bend, OR, USA",1,0.75,12475.0,2012.0,datacenterhawk,1.0,1.0,OR,Individual,0.5596157879354227,9.431562077727694,False,False,True,0.75
44.0860968,-121.2830279,OneNeck IT Solutions · 20845 Sockeye Place,OneNeck IT Solutions,"20845 Sockeye Place, Bend, OR, USA",1,,30000.0,2005.0,datacenterhawk,1.0,1.0,OR,Individual,1.1135317087173462,10.308985993422082,False,False,True,2.0450938104514824
44.1470231,-123.0577938,Apex North · DC01,Apex North,"91410 Coburg Industrial Way, Coburg, OR, USA",1,,3697.0,2006.0,datacenterhawk,1.0,1.0,OR,Individual,0.4266566038131714,8.21554741194707,False,False,True,0.5321264449998293
44.207099,-88.3455851,ark data centers · Green Bay,ark data centers,"W6149 Old Highway Road, Menasha, WI, USA",1,,37000.0,2010.0,datacenterhawk,1.0,1.0,WI,Individual,1.7441045045852661,10.518700218288165,False,False,True,4.720776252054359
44.277024313049786,-120.87703841891404,Not Available,,"1600 SW Baldwin Rd, Prineville, OR, 97754, USA",1,,,2014.0,datacenters.com,1.0,1.0,OR,Individual,,,False,False,True,
44.2998485,-120.8344664,Connect · 3115 SW High Plains,Oppidan Investment Company,"3115 SW High Plains, Prineville, OR, USA",1,,61554.0,2024.0,datacenterhawk,1.0,1.0,OR,Individual,2.232426166534424,11.027686363081715,False,False,True,8.322456496315777
44.3373385,-79.6704718,eStruxture · TOR-5,Estruxture,"612 Welham Road, Barrie, ON, Canada",1,,60000.0,2004.0,datacenterhawk,1.0,1.0,ON,Individual,0.9398204684257507,11.002116507732017,False,False,True,1.559521862088852
44.779581,-93.461811,"Centersquare · MSP1-A,B",Shakopee Public Utilities,"4450 Dean Lakes Boulevard, Shakopee, MN, USA",2,,,2014.0,datacenterhawk; datacenters.com,0.5111111111111111,0.4516129032258064,MN,Ambiguous/Flagged,,,False,False,False,
44.8072598,-93.6373727,Stream Data Centers · Minneapolis II,Next Tier HD,"1706 West Creek Lane, Chaska, MN, USA",1,4.0,56000.0,2017.0,datacenterhawk; datacenters.com,1.0,1.0,MN,Individual,1.6094379124341003,10.933124826700707,False,False,True,3.999999999999999
44.8084889,-93.6374777,LightEdge · Minneapolis I,Chaska Power,"1708 West Creek Lane, Chaska, MN, USA",1,,75840.0,2014.0,datacenterhawk,1.0,1.0,MN,Individual,1.9285783767700195,11.236394322495983,False,False,True,5.879722912374312
44.8272589,-93.1083697,Connect · 550 Opperman Drive,Oppidan Investment Company,"550 Opperman Drive, Eagan, MN, USA",1,,61554.0,2024.0,datacenterhawk,1.0,1.0,MN,Individual,2.232426166534424,11.027686363081715,False,False,True,8.322456496315777
44.8384969,-93.1458123,DataBank · MSP2,Dakota Electric/Great River Energy,"3255 Neil Armstrong Blvd, Eagan, MN, USA",1,5.0,90000.0,1998.0,datacenterhawk; datacenters.com,1.0,1.0,MN,Individual,1.791759469228055,11.407576060361786,False,False,True,5.0
44.8515919,-93.598816,Flexential · Minneapolis - Chaska,Flexential,"3500 Lyman Boulevard, Chaska, MN, USA",2,,160838.0,1995.0,datacenterhawk; datacenters.com,1.0,1.0,MN,Individual,1.732174038887024,11.988159143633016,False,False,True,4.65293024915927
44.862749,-93.3305495,DataBank · MSP1,Xcel Energy,"7700 France Avenue S, Edina, MN, USA",1,1.0,26240.0,1979.0,datacenterhawk; datacenters.com,1.0,1.0,MN,Individual,0.6931471805599453,10.175078352087965,False,False,True,1.0
44.8771104,-93.4076927,OneNeck IT Solutions · 10290 West 70th Street,Xcel Energy,"10290 West 70th Street, Eden Prairie, MN, USA",1,,50000.0,2010.0,datacenterhawk,1.0,1.0,MN,Individual,1.7010976076126099,10.819798284210286,False,False,True,4.4799589366105685
44.878805,-93.4041576,EdgeConneX · MSP01,EdgeConnex,"6875 Shady Oak Road, Eden Prairie, MN, USA",1,,32738.0,2000.0,datacenterhawk,1.0,1.0,MN,Individual,1.5069702863693237,10.3963223067812,False,False,True,3.51303685116234
44.9462758,-92.9526655,IronGate Data Centers · Twin Cities East,IronGate Data Centers,"401 Bielenberg Drive, Woodbury, MN, USA",1,,85000.0,1978.0,datacenterhawk,1.0,1.0,MN,Individual,1.4222337007522583,11.350418300109132,False,False,True,3.146371857893639
44.9714084,-93.2545804,511Building · 511 11th Avenue South,511Building,"511 11th Avenue South, Minneapolis, MN, USA",12,4.0,273000.0,1982.0,datacenterhawk; datacenters.com,0.7554969216748321,0.7719620446893175,MN,Building,1.6094379124341003,12.51723073716405,True,False,False,3.999999999999999
44.9715259,-93.2703388,T5 Data Centers · T5@Minneapolis,Xcel Energy,"1001 Third Avenue South, Minneapolis, MN, USA",1,,47000.0,1988.0,datacenterhawk,1.0,1.0,MN,Individual,1.6582924127578735,10.757924157061597,False,False,True,4.250337775675769
44.9721944,-93.1473238,H5 Data Centers · 1125 Energy Park Dr,,"1125 Energy Park Dr, St. Paul, MN, USA",1,,42000.0,1947.0,datacenterhawk; datacenters.com,1.0,1.0,MN,Individual,0.9959412813186646,10.645448706505872,False,False,True,1.7072714463571854
